LAMBDA,G,BP,RP,RVS
3210,0.00000,0.00000,0.00000,0.00000
3230,0.00002,0.00002,0.00000,0.00000
3250,0.00032,0.00046,0.00000,0.00000
3270,0.00206,0.00526,0.00001,0.00000
3290,0.00674,0.02390,0.00001,0.00000
3310,0.01421,0.04898,0.00003,0.00000
3330,0.02299,0.08185,0.00004,0.00000
3350,0.03274,0.12277,0.00008,0.00000
3370,0.04180,0.14695,0.00009,0.00000
3390,0.05050,0.17316,0.00011,0.00000
3410,0.05958,0.18345,0.00020,0.00000
3430,0.06760,0.14596,0.00016,0.00000
3450,0.07475,0.18281,0.00019,0.00000
3470,0.08025,0.25723,0.00014,0.00000
3490,0.08407,0.27736,0.00005,0.00000
3510,0.08710,0.28033,0.00004,0.00000
3530,0.08854,0.29140,0.00004,0.00000
3550,0.08937,0.28547,0.00004,0.00000
3570,0.08917,0.28084,0.00004,0.00000
3590,0.08863,0.28221,0.00004,0.00000
3610,0.08770,0.27695,0.00003,0.00000
3630,0.08640,0.26857,0.00003,0.00000
3640,0.08539,0.26310,0.00003,0.00000
3650,0.08490,0.25980,0.00002,0.00000
3670,0.08338,0.25087,0.00004,0.00000
3690,0.08183,0.23897,0.00003,0.00000
3710,0.08071,0.22771,0.00003,0.00000
3730,0.07939,0.21463,0.00003,0.00000
3750,0.07925,0.20324,0.00002,0.00000
3770,0.08017,0.19790,0.00002,0.00000
3790,0.08295,0.19448,0.00002,0.00000
3810,0.09014,0.20044,0.00002,0.00000
3830,0.10242,0.22009,0.00003,0.00000
3850,0.12071,0.24403,0.00002,0.00000
3870,0.14525,0.27541,0.00004,0.00000
3890,0.17621,0.32483,0.00003,0.00000
3910,0.21093,0.37507,0.00005,0.00000
3930,0.24760,0.43397,0.00005,0.00000
3950,0.28401,0.48619,0.00007,0.00000
3970,0.31790,0.51822,0.00007,0.00000
3990,0.35028,0.55545,0.00009,0.00000
4010,0.37911,0.61009,0.00014,0.00000
4030,0.40657,0.66496,0.00011,0.00000
4050,0.43172,0.69395,0.00008,0.00000
4070,0.45596,0.70697,0.00009,0.00000
4090,0.47663,0.72264,0.00008,0.00000
4110,0.49884,0.75939,0.00010,0.00000
4130,0.51685,0.78837,0.00012,0.00000
4150,0.53508,0.81350,0.00017,0.00000
4170,0.55286,0.83407,0.00012,0.00000
4190,0.57075,0.84165,0.00007,0.00000
4210,0.58594,0.85270,0.00010,0.00000
4230,0.60022,0.87281,0.00007,0.00000
4250,0.61246,0.88248,0.00007,0.00000
4270,0.62663,0.89082,0.00005,0.00000
4290,0.64060,0.89787,0.00007,0.00000
4310,0.65414,0.90944,0.00006,0.00000
4330,0.66276,0.92220,0.00009,0.00000
4350,0.67603,0.93078,0.00008,0.00000
4370,0.68729,0.91626,0.00010,0.00000
4390,0.69679,0.90245,0.00008,0.00000
4410,0.70653,0.90459,0.00007,0.00000
4430,0.71840,0.91773,0.00007,0.00000
4450,0.72809,0.93486,0.00005,0.00000
