LAMBDA,G,G_err,BP,BP_err,RP,RP_err
3000,2.49158820e-07,1.41999222e-07,0.00,0.00,0.00,0.00
3002.5,2.45007987e-07,1.39891738e-07,0.00,0.00,0.00,0.00
3005,2.40857154e-07,1.37784256e-07,0.00,0.00,0.00,0.00
3007.5,2.36706321e-07,1.35676775e-07,0.00,0.00,0.00,0.00
3010,2.32555488e-07,1.33569296e-07,0.00,0.00,0.00,0.00
3012.5,2.27818778e-07,1.30963386e-07,0.00,0.00,0.00,0.00
3015,2.23082068e-07,1.28357482e-07,0.00,0.00,0.00,0.00
3017.5,2.18345358e-07,1.25751586e-07,0.00,0.00,0.00,0.00
3020,2.13608647e-07,1.23145696e-07,0.00,0.00,0.00,0.00
3022.5,2.08248812e-07,1.20263181e-07,0.00,0.00,0.00,0.00
3025,2.02888976e-07,1.17380667e-07,0.00,0.00,0.00,0.00
3027.5,1.97529141e-07,1.14498155e-07,0.00,0.00,0.00,0.00
3030,1.92169306e-07,1.11615643e-07,0.00,0.00,0.00,0.00
3032.5,1.86646852e-07,1.08404174e-07,0.00,0.00,0.00,0.00
3035,1.81124399e-07,1.05192721e-07,0.00,0.00,0.00,0.00
3037.5,1.75601946e-07,1.01981286e-07,0.00,0.00,0.00,0.00
3040,1.70079493e-07,9.87698700e-08,0.00,0.00,0.00,0.00
3042.5,1.64233313e-07,9.55525321e-08,0.00,0.00,0.00,0.00
3045,1.58387133e-07,9.23351950e-08,0.00,0.00,0.00,0.00
3047.5,1.52540954e-07,8.91178586e-08,0.00,0.00,0.00,0.00
3050,1.46694774e-07,8.59005231e-08,0.00,0.00,0.00,0.00
3052.5,1.40638541e-07,8.28357116e-08,0.00,0.00,0.00,0.00
3055,1.34582309e-07,7.97709542e-08,0.00,0.00,0.00,0.00
3057.5,1.28526076e-07,7.67062575e-08,0.00,0.00,0.00,0.00
3060,1.22469844e-07,7.36416290e-08,0.00,0.00,0.00,0.00
3062.5,1.17098158e-07,7.04214432e-08,0.00,0.00,0.00,0.00
3065,1.11726472e-07,6.72012718e-08,0.00,0.00,0.00,0.00
3067.5,1.06354787e-07,6.39811170e-08,0.00,0.00,0.00,0.00
3070,1.00983101e-07,6.07609813e-08,0.00,0.00,0.00,0.00
3072.5,9.60586144e-08,5.77129397e-08,0.00,0.00,0.00,0.00
3075,9.11341277e-08,5.46649392e-08,0.00,0.00,0.00,0.00
3077.5,8.62096409e-08,5.16169871e-08,0.00,0.00,0.00,0.00
3080,8.12851542e-08,4.85690925e-08,0.00,0.00,0.00,0.00
3082.5,7.69992882e-08,4.61884163e-08,0.00,0.00,0.00,0.00
3085,7.27134221e-08,4.38077454e-08,0.00,0.00,0.00,0.00
3087.5,6.84275561e-08,4.14270808e-08,0.00,0.00,0.00,0.00
3090,6.41416900e-08,3.90464237e-08,0.00,0.00,0.00,0.00
3092.5,6.10127641e-08,3.72522388e-08,0.00,0.00,0.00,0.00
3095,5.78838381e-08,3.54580562e-08,0.00,0.00,0.00,0.00
3097.5,5.47549122e-08,3.36638761e-08,0.00,0.00,0.00,0.00
3100,5.16259862e-08,3.18696990e-08,0.00,0.00,0.00,0.00
3102.5,4.92620778e-08,3.05672125e-08,0.00,0.00,0.00,0.00
3105,4.68981694e-08,2.92647452e-08,0.00,0.00,0.00,0.00
3107.5,4.45342609e-08,2.79622998e-08,0.00,0.00,0.00,0.00
3110,4.21703525e-08,2.66598797e-08,0.00,0.00,0.00,0.00
3112.5,4.04603234e-08,2.56794332e-08,0.00,0.00,0.00,0.00
3115,3.87502943e-08,2.46989979e-08,0.00,0.00,0.00,0.00
3117.5,3.70402652e-08,2.37185751e-08,0.00,0.00,0.00,0.00
3120,3.53302361e-08,2.27381664e-08,0.00,0.00,0.00,0.00
3122.5,3.39726393e-08,2.19452057e-08,0.00,0.00,0.00,0.00
