# Major DECam instrumental throughput events.
# Version:  2017-04-28
# 
# Combination of blanco_optics_cleaning_events.csv and processing_epochs.csv...
# 
# Columns:
#  name:       name of epoch
#  mjd_start:  starting MJD of epoch 
#              (assumed to be at roughly Noon Chilean Standard Time)
#  mjd_end:    ending MJD of epoch 
#              (assumed to be at roughly Noon Chilean Standard Time)
#  impact:     rough expected prioritized impact of event on 
#              system throughput (1=highest expected impact)
#  comments:   comments
# 
name,mjd_start,mjd_end,impact,event
SVE1a,56240.6666667,56267.6666666,1,New processing epoch
SVE1b,56267.6666667,56419.6666666,2,Primary mirror washed
SVE1c,56419.6666667,56519.6666666,2,Primary mirror washed
Y1E1a,56519.6666667,56626.6666666,1,New processing epoch
Y1E2a,56626.6666667,56631.6666666,1,New processing epoch
Y1E2b,56631.6666667,56811.6666666,2,Primary mirror washed
Y1E2c,56811.6666667,56869.6666666,2,Primary mirror washed
Y1E2d,56869.6666667,56875.6666666,2,Primary mirror washed
Y2E1a,56875.6666667,56974.6666666,1,New processing epoch
Y2E1b,56974.6666667,56995.6666666,2,Primary mirror washed
Y2E2a,56995.6666667,57105.6666666,1,New processing epoch
Y2E2b,57105.6666667,57211.6666666,2,Primary mirror washed
Y2E2c,57211.6666667,57234.6666666,2,Primary mirror washed
Y3E1a,57234.6666667,57288.6666666,1,New processing epoch
Y3E1b,57288.6666667,57372.6666666,2,Primary mirror washed
Y3E1c,57372.6666667,57442.6666666,2,Primary mirror washed
Y3E1d,57442.6666667,57456.6666666,3,C1 inside surface cleaned
Y3E1e,57456.6666667,57613.6666666,2,Primary mirror washed
Y4E1a,57613.6666667,57617.6666666,1,New processing epoch
Y4E1b,57617.6666667,57743.6666666,2,Primary mirror washed
Y4E1c,57743.6666667,57754.6666666,2,Primary mirror washed
Y4E2a,57754.6666667,57834.6666666,1,New processing epoch
Y4E2b,57834.6666667,57949.6666666,3,C1 cleaned inside and out

Y5E1a,57979.6666667,.6666666,1,New processing epoch

Y5E2a,58002.6666667,.6666666,1,New processing epoch

Y6E1a,58310.6666667,.6666666,1,New processing epoch



