# ccdnum detpos xpos ypos xsize ysize DAboard
 25 S1 2151.200063 14825.999878 2160 4146 1
 26 S2 2151.200063 10566.666585 2160 4146 1
 27 S3 2151.200063 6307.333293 2160 4146 1
 32 N1 -103.200063 14825.999878 2160 4146 1
 33 N2 -103.200063 10566.666585 2160 4146 1
 34 N3 -103.200063 6307.333293 2160 4146 1
 19 S8 4405.599935 12696.33374 2160 4146 2
 20 S9 4405.599935 8436.999939 2160 4146 2
 13 S14 6660.000061 12696.33374 2160 4146 2
 14 S15 6660.000061 8436.999939 2160 4146 2
 8 S20 8914.400187 10566.666585 2160 4146 2
 4 S25 11168.799805 8436.999939 2160 4146 2
 39 N8 -2357.599935 12696.33374 2160 4146 3
 40 N9 -2357.599935 8436.999939 2160 4146 3
 45 N14 -4612.000061 12696.33374 2160 4146 3
 46 N15 -4612.000061 8436.999939 2160 4146 3
 51 N20 -6866.400187 10566.666585 2160 4146 3
 56 N25 -9120.799805 8436.999939 2160 4146 3
 21 S10 4405.599935 4177.666646 2160 4146 5
 22 S11 4405.599935 -81.666646 2160 4146 5
 23 S12 4405.599935 -4340.999939 2160 4146 5
 24 S13 4405.599935 -8600.33374 2160 4146 5
 17 S18 6660.000061 -4340.999939 2160 4146 5
 18 S19 6660.000061 -8600.33374 2160 4146 5
 15 S16 6660.000061 4177.666646 2160 4146 6
 16 S17 6660.000061 -81.666646 2160 4146 6
 9 S21 8914.400187 6307.333293 2160 4146 6
 10 S22 8914.400187 2048.0 2160 4146 6
 11 S23 8914.400187 -2211.333293 2160 4146 6
 12 S24 8914.400187 -6470.666585 2160 4146 6
 5 S26 11168.799805 4177.666646 2160 4146 7
 6 S27 11168.799805 -81.666646 2160 4146 7
 7 S28 11168.799805 -4340.999939 2160 4146 7
 1 S29 13423.200439 6307.333293 2160 4146 7
 2 S30 13423.200439 2048.0 2160 4146 7
 3 S31 13423.200439 -2211.333293 2160 4146 7
 35 N4 -103.200063 2048.0 2160 4146 9
 36 N5 -103.200063 -2211.333293 2160 4146 9
 37 N6 -103.200063 -6470.666585 2160 4146 9
 38 N7 -103.200063 -10729.999878 2160 4146 9
 28 S4 2151.200063 2048.0 2160 4146 8
 29 S5 2151.200063 -2211.333293 2160 4146 8
 30 S6 2151.200063 -6470.666585 2160 4146 8
 31 S7 2151.200063 -10729.999878 2160 4146 8
 41 N10 -2357.599935 4177.666646 2160 4146 10
 42 N11 -2357.599935 -81.666646 2160 4146 10
 43 N12 -2357.599935 -4340.999939 2160 4146 10
 44 N13 -2357.599935 -8600.33374 2160 4146 10
 49 N18 -4612.000061 -4340.999939 2160 4146 10
 50 N19 -4612.000061 -8600.33374 2160 4146 10
 47 N16 -4612.000061 4177.666646 2160 4146 11
 48 N17 -4612.000061 -81.666646 2160 4146 11
 52 N21 -6866.400187 6307.333293 2160 4146 11
 53 N22 -6866.400187 2048.0 2160 4146 11
 54 N23 -6866.400187 -2211.333293 2160 4146 11
 55 N24 -6866.400187 -6470.666585 2160 4146 11
 57 N26 -9120.799805 4177.666646 2160 4146 12
 58 N27 -9120.799805 -81.666646 2160 4146 12
 59 N28 -9120.799805 -4340.999939 2160 4146 12
 60 N29 -11375.200439 6307.333293 2160 4146 12
 61 N30 -11375.200439 2048.0 2160 4146 12
 62 N31 -11375.200439 -2211.333293 2160 4146 12
 66 FS1 11168.799805 -6552 2160 2098 13
 65 FS2 13423.200439 -4422 2160 2098 13
 63 FS3 15677.600057 1966 2160 2098 13
 64 FS4 15677.600057 4177 2160 2098 13
 67 FN1 -9120.799805 -6552 2160 2098 14
 68 FN2 -11375.200439 -4422 2160 2098 14
 69 FN3 -13629.600057 1967 2160 2098 14
 70 FN4 -13629.600057 4177 2160 2098 14
 0 GS1 11168.799805 12552 2160 2098 4
 0 GS2 13423.200439 10422 2160 2098 4
 0 GN1 -9120.799805 12552 2160 2098 4
 0 GN2 -11375.200439 10422 2160 2098 4
