# From: 
# https://opensource.ncsa.illinois.edu/confluence/display/DESDM/Y2A1+Observing+Epochs
# 
# Need to update these to cover data taken in 
# the DES off-seasons. 
# 
# Version: 2019-06-24
# 
name,nite_start,nite_end,expnum_start,expnum_end
SVE1,2012-11-09,2013-02-22,149236,181243
Y1E1,2013-08-15,2013-11-28,226510,258564
Y1E2,2013-11-30,2014-02-12,258805,284391
Y2E1,2014-08-06,2014-11-30,344939,383321
Y2E2,2014-12-04,2015-05-18,383455,438344
Y3E1,2015-07-31,2016-02-23,459983,519543
Y4E1,2016-08-13,2016-12-31,563912,605670
Y4E2,2017-01-01,2017-02-18,605791,622099
Y5E1,2017-08-14,2017-09-02,666747,674856
Y5E2,2017-09-06,2018-02-22,674970,724364
Y6E1,2018-07-11,2019-01-09,754150,810381
